year,value,edu_encoded,area_clean_นอกเขตเทศบาล,area_clean_รวม,area_clean_เขตเทศบาล,sex_clean_ชาย,sex_clean_รวม,sex_clean_หญิง,quarter1,quarter2,quarter3,quarter4
2567,90.8,8,1,0,0,1,0,0,0,1,0,0
2567,65.5,9,1,0,0,1,0,0,0,1,0,0
2567,96,10,1,0,0,1,0,0,0,1,0,0
2567,89.9,11,1,0,0,1,0,0,0,1,0,0
2567,57.7,12,1,0,0,0,0,1,0,1,0,0
2567,37.5,0,1,0,0,0,0,1,0,1,0,0
2567,35,1,1,0,0,0,0,1,0,1,0,0
2567,67.2,2,1,0,0,0,0,1,0,1,0,0
2567,52.9,3,1,0,0,0,0,1,0,1,0,0
2567,65.8,4,1,0,0,0,0,1,0,1,0,0
2567,66,5,1,0,0,0,0,1,0,1,0,0
2567,65.2,6,1,0,0,0,0,1,0,1,0,0
2567,84.1,7,1,0,0,0,0,1,0,1,0,0
2567,78,8,1,0,0,0,0,1,0,1,0,0
2567,73.9,9,1,0,0,0,0,1,0,1,0,0
2567,90.5,10,1,0,0,0,0,1,0,1,0,0
2567,89.8,11,1,0,0,0,0,1,0,1,0,0
2567,68.3,12,0,1,0,0,1,0,0,0,1,0
2567,49.6,0,0,1,0,0,1,0,0,0,1,0
2567,45.4,1,0,1,0,0,1,0,0,0,1,0
2567,75.8,2,0,1,0,0,1,0,0,0,1,0
2567,65.6,3,0,1,0,0,1,0,0,0,1,0
2567,71.9,4,0,1,0,0,1,0,0,0,1,0
2567,71,5,0,1,0,0,1,0,0,0,1,0
2567,61,6,0,1,0,0,1,0,0,0,1,0
2567,83.5,7,0,1,0,0,1,0,0,0,1,0
2567,85.8,8,0,1,0,0,1,0,0,0,1,0
2567,67.4,9,0,1,0,0,1,0,0,0,1,0
2567,95.4,10,0,1,0,0,1,0,0,0,1,0
2567,85.9,11,0,1,0,0,1,0,0,0,1,0
2567,76.9,12,0,1,0,1,0,0,0,0,1,0
2567,65.5,0,0,1,0,1,0,0,0,0,1,0
2567,58.7,1,0,1,0,1,0,0,0,0,1,0
2567,83.9,2,0,1,0,1,0,0,0,0,1,0
2567,73.2,3,0,1,0,1,0,0,0,0,1,0
2567,80.4,4,0,1,0,1,0,0,0,0,1,0
2567,75.4,5,0,1,0,1,0,0,0,0,1,0
2567,80,6,0,1,0,1,0,0,0,0,1,0
2567,85.4,7,0,1,0,1,0,0,0,0,1,0
2567,90.1,8,0,1,0,1,0,0,0,0,1,0
2567,65.4,9,0,1,0,1,0,0,0,0,1,0
2567,96.9,10,0,1,0,1,0,0,0,0,1,0
2567,89.8,11,0,1,0,1,0,0,0,0,1,0
2567,60.6,12,0,1,0,0,0,1,0,0,1,0
2567,40.6,0,0,1,0,0,0,1,0,0,1,0
2567,36.6,1,0,1,0,0,0,1,0,0,1,0
2567,67.2,2,0,1,0,0,0,1,0,0,1,0
2567,56.6,3,0,1,0,0,0,1,0,0,1,0
2567,63.9,4,0,1,0,0,0,1,0,0,1,0
2567,64.9,5,0,1,0,0,0,1,0,0,1,0
2567,54.7,6,0,1,0,0,0,1,0,0,1,0
2567,82.3,7,0,1,0,0,0,1,0,0,1,0
2567,80.2,8,0,1,0,0,0,1,0,0,1,0
2567,68.3,9,0,1,0,0,0,1,0,0,1,0
2567,93.8,10,0,1,0,0,0,1,0,0,1,0
2567,80.6,11,0,1,0,0,0,1,0,0,1,0
2567,68.5,12,0,0,1,0,1,0,0,0,1,0
2567,54.6,0,0,0,1,0,1,0,0,0,1,0
2567,41.8,1,0,0,1,0,1,0,0,0,1,0
2567,73.5,2,0,0,1,0,1,0,0,0,1,0
2567,66.2,3,0,0,1,0,1,0,0,0,1,0
2567,68,4,0,0,1,0,1,0,0,0,1,0
2567,69,5,0,0,1,0,1,0,0,0,1,0
2567,69,6,0,0,1,0,1,0,0,0,1,0
2567,82.1,7,0,0,1,0,1,0,0,0,1,0
2567,84.6,8,0,0,1,0,1,0,0,0,1,0
2567,62.2,9,0,0,1,0,1,0,0,0,1,0
2567,97.3,10,0,0,1,0,1,0,0,0,1,0
2567,84.1,11,0,0,1,0,1,0,0,0,1,0
2567,76.1,12,0,0,1,1,0,0,0,0,1,0
2567,71.8,0,0,0,1,1,0,0,0,0,1,0
2567,53.9,1,0,0,1,1,0,0,0,0,1,0
2567,82.4,2,0,0,1,1,0,0,0,0,1,0
2567,73.3,3,0,0,1,1,0,0,0,0,1,0
2567,75.8,4,0,0,1,1,0,0,0,0,1,0
2567,73,5,0,0,1,1,0,0,0,0,1,0
2567,89.5,6,0,0,1,1,0,0,0,0,1,0
2567,83.9,7,0,0,1,1,0,0,0,0,1,0
2567,88.8,8,0,0,1,1,0,0,0,0,1,0
2567,63.7,9,0,0,1,1,0,0,0,0,1,0
2567,97.7,10,0,0,1,1,0,0,0,0,1,0
2567,88,11,0,0,1,1,0,0,0,0,1,0
2567,61.7,12,0,0,1,0,0,1,0,0,1,0
2567,44.3,0,0,0,1,0,0,1,0,0,1,0
2567,34.5,1,0,0,1,0,0,1,0,0,1,0
2567,64.9,2,0,0,1,0,0,1,0,0,1,0
2567,58.3,3,0,0,1,0,0,1,0,0,1,0
2567,60.5,4,0,0,1,0,0,1,0,0,1,0
2567,63.3,5,0,0,1,0,0,1,0,0,1,0
2567,63.1,6,0,0,1,0,0,1,0,0,1,0
2567,80.8,7,0,0,1,0,0,1,0,0,1,0
2567,79,8,0,0,1,0,0,1,0,0,1,0
2567,61.5,9,0,0,1,0,0,1,0,0,1,0
2567,96.9,10,0,0,1,0,0,1,0,0,1,0
2567,79.1,11,0,0,1,0,0,1,0,0,1,0
2567,68.2,12,1,0,0,0,1,0,0,0,1,0
2567,46.6,0,1,0,0,0,1,0,0,0,1,0
2567,47.4,1,1,0,0,0,1,0,0,0,1,0
2567,77.3,2,1,0,0,0,1,0,0,0,1,0
2567,65.1,3,1,0,0,0,1,0,0,0,1,0
2567,75.7,4,1,0,0,0,1,0,0,0,1,0
2567,73.5,5,1,0,0,0,1,0,0,0,1,0
2567,18.8,6,1,0,0,0,1,0,0,0,1,0
2567,86.3,7,1,0,0,0,1,0,0,0,1,0
2567,87.2,8,1,0,0,0,1,0,0,0,1,0
2567,73.1,9,1,0,0,0,1,0,0,0,1,0
2567,93.4,10,1,0,0,0,1,0,0,0,1,0
2567,90.2,11,1,0,0,0,1,0,0,0,1,0
2567,77.5,12,1,0,0,1,0,0,0,0,1,0
2567,61.5,0,1,0,0,1,0,0,0,0,1,0
2567,61.2,1,1,0,0,1,0,0,0,0,1,0
2567,84.8,2,1,0,0,1,0,0,0,0,1,0
2567,73.1,3,1,0,0,1,0,0,0,0,1,0
2567,85,4,1,0,0,1,0,0,0,0,1,0
2567,78.4,5,1,0,0,1,0,0,0,0,1,0
2567,50,6,1,0,0,1,0,0,0,0,1,0
2567,88.4,7,1,0,0,1,0,0,0,0,1,0
2567,91.5,8,1,0,0,1,0,0,0,0,1,0
2567,67.4,9,1,0,0,1,0,0,0,0,1,0
2567,96.2,10,1,0,0,1,0,0,0,0,1,0
2567,94,11,1,0,0,1,0,0,0,0,1,0
2567,59.6,12,1,0,0,0,0,1,0,0,1,0
2567,38.4,0,1,0,0,0,0,1,0,0,1,0
2567,37.8,1,1,0,0,0,0,1,0,0,1,0
2567,68.8,2,1,0,0,0,0,1,0,0,1,0
2567,55.3,3,1,0,0,0,0,1,0,0,1,0
2567,67.1,4,1,0,0,0,0,1,0,0,1,0
2567,66.8,5,1,0,0,0,0,1,0,0,1,0
2556,71.4,12,0,1,0,0,1,0,1,0,0,0
2557,79.5,12,0,1,0,1,0,0,0,0,1,0
2559,60.9,12,0,1,0,0,0,1,1,0,0,0
2560,67.7,12,0,0,1,0,1,0,0,0,1,0
2562,75.3,12,0,0,1,1,0,0,1,0,0,0
2563,60.9,12,0,0,1,0,0,1,0,0,1,0
2557,52.2,0,1,0,0,0,1,0,1,0,0,0
2558,68.4,0,1,0,0,1,0,0,0,1,0,0
2559,41,0,1,0,0,0,0,1,0,0,1,0
2561,51.7,0,0,1,0,0,1,0,1,0,0,0
2562,64.7,0,0,1,0,1,0,0,0,1,0,0
2563,40.7,0,0,1,0,0,0,1,0,0,1,0
2557,58.2,1,0,0,1,0,1,0,1,0,0,0
2558,68.9,1,0,0,1,1,0,0,0,1,0,0
2559,46.5,1,0,0,1,0,0,1,0,0,1,0
2560,56.2,1,1,0,0,0,1,0,0,0,0,1
2562,67,1,1,0,0,1,0,0,1,0,0,0
2563,44.3,1,1,0,0,0,0,1,0,1,0,0
2557,84.2,2,0,0,1,1,0,0,1,0,0,0
2558,78.7,2,0,1,0,0,1,0,0,0,1,0
2559,64.4,2,0,0,1,0,0,1,0,0,0,1
2561,86.1,2,0,1,0,1,0,0,0,1,0,0
2562,77.3,2,1,0,0,0,1,0,0,0,1,0
2556,73.6,3,0,1,0,1,0,0,0,1,0,0
2557,62.7,3,0,0,1,0,1,0,0,0,1,0
2558,53.8,3,0,0,1,0,0,1,0,0,0,1
2560,73.9,3,1,0,0,1,0,0,1,0,0,0
2561,63.8,3,0,1,0,0,1,0,0,0,1,0
2562,53.1,3,0,1,0,0,0,1,0,0,0,1
2556,62.6,4,0,1,0,0,0,1,0,1,0,0
2557,83.2,4,1,0,0,1,0,0,0,1,0,0
2558,64.3,4,0,0,1,0,1,0,0,0,1,0
2559,65.2,4,1,0,0,0,0,1,0,0,1,0
2560,71.7,4,0,0,1,1,0,0,0,0,0,1
2562,70.2,4,0,1,0,0,1,0,1,0,0,0
2563,57.9,4,0,0,1,0,0,1,1,0,0,0
2556,72.1,5,0,1,0,0,1,0,0,0,1,0
2557,73.3,5,0,0,1,0,1,0,0,0,1,0
2558,73,5,1,0,0,0,1,0,0,0,1,0
2559,71,5,0,1,0,0,1,0,0,0,0,1
2560,69.7,5,0,0,1,0,1,0,0,0,0,1
2561,72.7,5,1,0,0,0,1,0,0,0,0,1
2563,69.7,5,0,1,0,0,1,0,1,0,0,0
2556,50.1,6,0,0,1,0,1,0,0,1,0,0
2557,15.5,6,0,0,1,0,0,1,0,1,0,0
2558,56.7,6,0,1,0,0,1,0,0,0,1,0
2559,72.5,6,0,0,1,0,1,0,0,0,1,0
